Time (ms),Membrane Potential (mV)
123.90488110137673,-64.28995594245679
124.15519399249062,-64.03700078722083
124.40550688360452,-63.75668428892892
124.65581977471841,-63.44963251943406
124.9061326658323,-63.11600340976565
125.1564455569462,-62.7554634539204
125.40675844806007,-62.3671516139044
125.65707133917397,-61.94962555400333
125.90738423028786,-61.50078416053781
126.15769712140175,-61.01775833932846
126.40801001251565,-60.49675899490724
126.65832290362954,-59.93286633424867
126.90863579474343,-59.31973729039833
127.15894868585733,-58.64919638946948
127.40926157697122,-57.910657146277416
127.65957446808511,-57.0902914227452
127.909887359199,-56.1698147132931
128.1602002503129,-55.124670331844
128.41051314142678,-53.92124456059909
128.66082603254068,-52.512466652041326
128.91113892365456,-50.83061259939912
129.16145181476847,-48.77505130987661
129.41176470588235,-46.19036349385441
129.66207759699626,-42.82499274079803
129.91239048811013,-38.247563064589556
130.16270337922404,-31.662576045133775
130.41301627033792,-21.45876138434618
130.66332916145183,30.0
130.9136420525657,-65.0
131.1639549436796,-64.83952104644001
131.4142678347935,-64.64707047945167
131.6645807259074,-64.42471040647833
131.91489361702128,-64.17406453426833
132.16520650813519,-63.89631047415739
132.41551939924906,-63.59217265311171
132.66583229036297,-63.26191138712477
132.91614518147685,-62.905304048118815
133.16645807259076,-62.52161425201774
133.41677096370464,-62.1095445448715
133.66708385481854,-61.667167062929416
133.91739674593242,-61.191824921102885
134.1677096370463,-60.679994357958314
134.4180225281602,-60.12709346223156
134.6683354192741,-59.527216841817044
134.918648310388,-58.87276555603993
135.16896120150187,-58.15392577136985
135.41927409261578,-57.357924002050474
135.66958698372966,-56.467944435770434
135.91989987484357,-55.46152172964002
136.17021276595744,-54.30809591671189
136.42052565707135,-52.9651851413797
136.67083854818523,-51.37219367362374
136.92115143929914,-49.440001045046195
137.17146433041302,-47.03264848102117
137.42177722152692,-43.933347433531985
137.6720901126408,-39.777174615753076
137.9224030037547,-33.90680972805531
138.1727158948686,-25.031025931072982
138.4230287859825,-10.305888205870312
138.67334167709637,30.0
138.92365456821028,-65.0
139.17396745932416,-64.89574413096686
139.42428035043807,-64.75544875924894
139.67459324155195,-64.58169410252961
139.92490613266582,-64.37666572669373
140.17521902377973,-64.14213084090906
140.4255319148936,-63.879423332059034
140.67584480600752,-63.58943204865081
140.9261576971214,-63.27258753138447
141.1764705882353,-62.92884282839158
141.42678347934918,-62.55764413890775
141.6770963704631,-62.15788671982978
141.92740926157697,-61.72785066384627
142.17772215269088,-61.2651096594799
142.42803504380475,-60.76640341768567
142.67834793491866,-60.227460676752656
142.92866082603254,-59.64275388213838
143.17897371714645,-59.00515761877629
143.42928660826033,-58.30546867688545
143.67959949937423,-57.53172283319109
143.9299123904881,-56.66820592663137
144.18022528160202,-55.69399340361316
144.4305381727159,-54.58074194397476
144.6808510638298,-53.28925712394668
144.93116395494368,-51.763985973241404
145.1814768460576,-49.92384595527672
145.43178973717147,-47.64627492226039
145.68210262828535,-44.73802596370161
145.93241551939926,-40.87828386847203
146.18272841051314,-35.49919449468964
146.43304130162704,-27.510223453665915
146.68335419274092,-14.580994672797592
146.93366708385483,30.0
147.1839799749687,-65.0
147.43429286608261,-64.87644750164498
147.6846057571965,-64.71825878846808
147.9349186483104,-64.5278481648161
148.18523153942428,-64.30721735398738
148.4355444305382,-64.05793829732842
148.68585732165207,-63.78114181501501
148.93617021276597,-63.47750700283424
149.18648310387985,-63.14724684669757
149.43679599499376,-62.790085845325926
149.68710888610764,-62.40522536513908
149.93742177722154,-61.991291927863294
150.18773466833542,-61.54626253254268
150.43804755944933,-61.06735924867783
150.6883604505632,-60.55090237129954
150.93867334167712,-59.99210688147573
151.188986232791,-59.384799942264465
151.4392991239049,-58.72102622590042
151.68961201501878,-57.990490520811534
151.93992490613266,-57.17975893529559
152.19023779724657,-56.271093214894044
152.44055068836045,-55.24071255007705
152.69086357947435,-54.056135469996775
152.94117647058823,-52.67199417345638
153.19148936170214,-51.02321552468646
153.44180225281602,-49.0134625911251
153.69211514392993,-46.49460672214187
153.9424280350438,-43.22818702184483
154.1927409261577,-38.808027287296966
154.4430538172716,-32.491480162924496
154.6933667083855,-22.791054871870465
154.94367959949938,-6.34356994341961
155.19399249061328,30.0
155.44430538172716,-65.0
155.69461827284107,-64.91948958366721
155.94493116395495,-64.80120262928801
156.19524405506886,-64.64790646737166
156.44555694618273,-64.46200013631598
156.69586983729664,-64.24548128148108
156.94618272841052,-63.99992543302196
157.19649561952443,-63.72647173894022
157.4468085106383,-63.42580997012515
157.69712140175218,-63.09816418588154
157.9474342928661,-62.74326873983128
158.19774718397997,-62.36033223173653
158.44806007509388,-61.94798448144229
158.69837296620776,-61.504200492372
158.94868585732166,-61.02619348687684
159.19899874843554,-60.51026611195144
159.44931163954945,-59.951604300059785
159.69962453066333,-59.34399114360692
159.94993742177724,-58.67940701794786
160.20025031289111,-57.94746452019661
160.45056320400502,-57.13459810782947
160.7008760951189,-56.222880548601154
160.9511889862328,-55.188256384926405
161.2015018773467,-53.997837506651585
161.4518147684606,-52.60563915747203
161.70212765957447,-50.94562318418431
161.95244055068838,-48.919885995964336
162.20275344180226,-46.377638074961695
162.45306633291617,-43.075643543605324
162.70337922403004,-38.59855599239711
162.95369211514395,-32.184553150568384
163.20400500625783,-22.30142200806136
163.4543178973717,-5.465450824326023
163.70463078848562,30.0
163.9549436795995,-65.0
164.2052565707134,-64.92604240471664
164.45556946182728,-64.81382693182053
164.7058823529412,-64.6661692390942
164.95619524405507,-64.48552481523384
165.20650813516897,-64.27395302193291
165.45682102628285,-64.03309453492635
165.70713391739676,-63.76415614619656
165.95744680851064,-63.467897635213646
166.20775969962455,-63.14461601842922
166.45807259073842,-62.79412282377268
166.70838548185233,-62.41571002226423
166.9586983729662,-62.00809979455608
167.20901126408012,-61.56937229869503
167.459324155194,-61.096863852971076
167.7096370463079,-60.58702515475062
167.95994993742178,-60.0352248292931
168.2102628285357,-59.43547692350318
168.46057571964957,-58.780060554718375
168.71088861076348,-58.05898344567541
168.96120150187735,-57.25921441570374
169.21151439299123,-56.36356567011751
169.46182728410514,-55.34903023932223
169.71214017521902,-54.184246858306274
169.96245306633293,-52.825521363932424
170.2127659574468,-51.210370395105244
170.4630788485607,-49.24662791721403
170.7133917396746,-46.79320325463173
170.9637046307885,-43.62418953147087
171.21401752190238,-39.35736871288544
171.46433041301628,-33.29982500216434
171.71464330413016,-24.079001957468403
171.96495619524407,-8.637745945861205
172.21526908635795,30.0
172.46558197747186,-65.0
172.71589486858574,-64.90910219657331
172.96620775969964,-64.78118910429696
173.21652065081352,-64.61894851487313
173.46683354192743,-64.42468780708091
173.7171464330413,-64.20030514217731
173.96745932415521,-63.94727143413089
174.2177722152691,-63.66661735768841
174.468085106383,-63.35892038066123
174.71839799749688,-63.024287325737255
174.96871088861076,-62.66232818085935
175.21902377972467,-62.27211670376249
175.46933667083854,-61.852132712173386
175.71964956195245,-61.40017967953581
175.96996245306633,-60.9132691466716
176.22027534418024,-60.38746015070926
176.47058823529412,-59.81763676637304
176.72090112640802,-59.19719895628041
176.9712140175219,-58.51762955518004
177.2215269086358,-57.767880470474424
177.4718397997497,-56.93348894853312
177.7221526908636,-55.99528072479796
177.97246558197747,-54.92742355851816
178.22277847309138,-53.694427966148055
178.47309136420526,-52.24638265683584
178.72340425531917,-50.511112722821096
178.97371714643305,-48.380727396432015
179.22403003754695,-45.68738755067327
179.47434292866083,-42.15702854192558
179.72465581977474,-37.31449028588768
179.97496871088862,-30.27118846048116
180.22528160200253,-19.193947156060766
180.4755944931164,30.0
180.72590738423028,-65.0
180.9762202753442,-64.85291792851665
181.22653316645807,-64.67290068103704
181.47684605757198,-64.46214341572602
181.72715894868585,-64.2224109877118
181.97747183979976,-63.95502726116518
182.22778473091364,-63.660866891943506
182.47809762202755,-63.34034489569247
182.72841051314143,-62.99339978671851
182.97872340425533,-62.61946619140518
183.2290362953692,-62.21743253719036
183.47934918648312,-61.785578601547435
183.729662077597,-61.32148622689605
183.9799749687109,-60.82191412108708
184.23028785982478,-60.28262396142526
184.4806007509387,-59.698139327254985
184.73091364205257,-59.06141017253279
184.98122653316648,-58.363341698991334
185.23153942428036,-57.592124280594945
185.48185231539426,-56.73226461328167
185.73216520650814,-55.763156697140445
185.98247809762205,-54.656924093302536
186.23279098873593,-53.37507177435799
186.4831038798498,-51.863123893901864
186.73341677096371,-50.04171411022479
186.9837296620776,-47.791129842799236
187.2340425531915,-44.92309857769351
187.48435544430538,-41.126037943505686
187.7346683354193,-35.85058768221828
187.98498122653316,-28.047017837628793
188.23529411764707,-15.48707068035516
188.48560700876095,30.0
188.73591989987486,-65.0
188.98623279098874,-64.8692742119276
189.23654568210264,-64.70443196564398
189.48685857321652,-64.50782271768121
189.73717146433043,-64.28137746314283
189.9874843554443,-64.02659368754884
190.23779724655822,-63.7445251318925
190.4881101376721,-63.435771380775954
190.738423028786,-63.100462853589804
190.98873591989988,-62.738237032723454
191.2390488110138,-62.34820162744994
191.48936170212767,-61.92887976317494
191.73967459324157,-61.47813107699599
191.98998748435545,-60.99304058597742
192.24030037546936,-60.469764033567024
192.49061326658324,-59.90331354852667
192.74092615769712,-59.287259931571846
192.99123904881102,-58.61331613577324
193.2415519399249,-57.87074780813674
193.4918648310388,-57.04552632170202
193.7421777221527,-56.11908887119028
193.9924906132666,-55.06648269099717
194.24280350438048,-53.853514770016695
194.49311639549438,-52.43224087631042
194.74342928660826,-50.73357334037306
